name,game_id,ngram,matched_token,matched_category,line
zeichen-gen-16k,0,"['POKE', '631']",POKE,command-plus-1,30
zeichen-gen-16k,0,"['POKE', ',']",POKE,command-plus-1,30
zeichen-gen-16k,0,"['POKE', '198']",POKE,command-plus-1,30
zeichen-gen-16k,0,"['PRINT', '""{clr}{down}{down}poke44,28:poke7168,0:clr""']",PRINT,command-plus-1,10
zeichen-gen-16k,0,"['PRINT', '""{down}{down}load""']",PRINT,command-plus-1,20
zeichen-gen-16k,0,"['CHR$', '(']",CHR$,command-plus-1,20
zeichen-gen-16k,0,"['CHR$', '(']",CHR$,command-plus-1,20
zeichen-gen-16k,0,"['NEW', ':']",NEW,command-plus-1,30
zeichen-gen2,0,"['GOSUB', 'THEN']",GOSUB,command-plus-1,4520
zeichen-gen2,0,"['THEN', '13']",THEN,command-plus-1,4520
zeichen-gen2,0,"['THEN', '""""']",THEN,command-plus-1,4510
zeichen-gen2,0,"['RETURN', ':']",RETURN,command-plus-1,4520
zeichen-gen2,0,"['GOSUB', ':']",GOSUB,command-plus-1,4520
zeichen-gen2,0,"['VAL', '+']",VAL,command-plus-1,4030
zeichen-gen2,0,"['GOTO', ':']",GOTO,command-plus-1,4030
zeichen-gen2,0,"['THEN', '255']",THEN,command-plus-1,4030
zeichen-gen2,0,"['NEXT', ':']",NEXT,command-plus-1,4600
zeichen-gen2,0,"['THEN', '>']",THEN,command-plus-1,4530
zeichen-gen2,0,"['IF', ':']",IF,command-plus-1,4530
zeichen-gen2,0,"['POKE', '8']",POKE,command-plus-1,4600
zeichen-gen2,0,"['PEEK', ',']",PEEK,command-plus-1,4600
zeichen-gen2,0,"['TO', '0']",TO,command-plus-1,3005
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,3010
zeichen-gen2,0,"['NEXT', ':']",NEXT,command-plus-1,3005
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,2060
zeichen-gen2,0,"['POKE', '45']",POKE,command-plus-1,2060
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,2060
zeichen-gen2,0,"['POKE', '46']",POKE,command-plus-1,2049
zeichen-gen2,0,"['RETURN', ':']",RETURN,command-plus-1,4020
zeichen-gen2,0,"['GOSUB', ':']",GOSUB,command-plus-1,4020
zeichen-gen2,0,"['POKE', '43']",POKE,command-plus-1,2049
zeichen-gen2,0,"['POKE', '44']",POKE,command-plus-1,2049
zeichen-gen2,0,"['THEN', '""d""']",THEN,command-plus-1,3016
zeichen-gen2,0,"['ASC', 'IF']",ASC,command-plus-1,4020
zeichen-gen2,0,"['THEN', '""""']",THEN,command-plus-1,4010
zeichen-gen2,0,"['IF', ':']",IF,command-plus-1,4010
zeichen-gen2,0,"['THEN', '16']",THEN,command-plus-1,9050
zeichen-gen2,0,"['GOTO', '<']",GOTO,command-plus-1,9050
zeichen-gen2,0,"['LEN', 'IF']",LEN,command-plus-1,9050
zeichen-gen2,0,"['GOTO', ':']",GOTO,command-plus-1,9045
zeichen-gen2,0,"['FOR', 'i']",FOR,command-plus-1,9060
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,9060
zeichen-gen2,0,"['MID$', '(']",MID$,command-plus-1,9060
zeichen-gen2,0,"['ASC', '=']",ASC,command-plus-1,9060
zeichen-gen2,0,"['TO', '1']",TO,command-plus-1,9060
zeichen-gen2,0,"['CHR$', 'PRINT']",CHR$,command-plus-1,9040
zeichen-gen2,0,"['PRINT', ':']",PRINT,command-plus-1,9040
zeichen-gen2,0,"['PEEK', '=']",PEEK,command-plus-1,9040
zeichen-gen2,0,"['TO', '+']",TO,command-plus-1,9040
zeichen-gen2,0,"['NEXT', ':']",NEXT,command-plus-1,9040
zeichen-gen2,0,"['LEN', 'PRINT']",LEN,command-plus-1,9045
zeichen-gen2,0,"['PRINT', 'THEN']",PRINT,command-plus-1,9045
zeichen-gen2,0,"['THEN', '16']",THEN,command-plus-1,9045
zeichen-gen2,0,"['LEN', 'IF']",LEN,command-plus-1,9045
zeichen-gen2,0,"['IF', ':']",IF,command-plus-1,9045
zeichen-gen2,0,"['PRINT', ':']",PRINT,command-plus-1,9040
zeichen-gen2,0,"['FOR', ':']",FOR,command-plus-1,9520
zeichen-gen2,0,"['CHR$', ',']",CHR$,command-plus-1,9510
zeichen-gen2,0,"['INT', '=']",INT,command-plus-1,9530
zeichen-gen2,0,"['NEXT', ':']",NEXT,command-plus-1,9520
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,9060
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,9060
zeichen-gen2,0,"['POKE', ',']",POKE,command-plus-1,9060
zeichen-gen2,0,"['CHR$', ',']",CHR$,command-plus-1,9505
zeichen-gen2,0,"['RETURN', ':']",RETURN,command-plus-1,9070
zeichen-gen2,0,"['NEXT', ':']",NEXT,command-plus-1,8000
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,8000
zeichen-gen2,0,"['THEN', 'GOSUB']",THEN,command-plus-1,8010
zeichen-gen2,0,"['GOSUB', '1000']",GOSUB,command-plus-1,8010
zeichen-gen2,0,"['PEEK', '=']",PEEK,command-plus-1,9010
zeichen-gen2,0,"['PEEK', '+']",PEEK,command-plus-1,9000
zeichen-gen2,0,"['PEEK', '=']",PEEK,command-plus-1,9000
zeichen-gen2,0,"['PEEK', '=']",PEEK,command-plus-1,8000
zeichen-gen2,0,"['TO', '0']",TO,command-plus-1,8000
zeichen-gen2,0,"['RETURN', ':']",RETURN,command-plus-1,7000
zeichen-gen2,0,"['FOR', 'zs']",FOR,command-plus-1,8000
zeichen-gen2,0,"['PEEK', ',']",PEEK,command-plus-1,8000
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,8000
zeichen-gen2,0,"['PEEK', '(']",PEEK,command-plus-1,9010
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,9040
zeichen-gen2,0,"['GOTO', ':']",GOTO,command-plus-1,9030
zeichen-gen2,0,"['GOTO', ':']",GOTO,command-plus-1,9026
zeichen-gen2,0,"['THEN', '2050']",THEN,command-plus-1,9021
zeichen-gen2,0,"['PEEK', '+']",PEEK,command-plus-1,9010
zeichen-gen2,0,"['PEEK', '=']",PEEK,command-plus-1,9010
zeichen-gen2,0,"['THEN', '2020']",THEN,command-plus-1,9020
zeichen-gen2,0,"['THEN', '2020']",THEN,command-plus-1,9015
zeichen-gen2,0,"['PEEK', ',']",PEEK,command-plus-1,160
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,160
zeichen-gen2,0,"['THEN', '""X""']",THEN,command-plus-1,170
zeichen-gen2,0,"['GOSUB', ':']",GOSUB,command-plus-1,160
zeichen-gen2,0,"['PEEK', 'cy']",PEEK,command-plus-1,150
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,150
zeichen-gen2,0,"['THEN', '""w""']",THEN,command-plus-1,160
zeichen-gen2,0,"['GOSUB', ':']",GOSUB,command-plus-1,150
zeichen-gen2,0,"['GOTO', ':']",GOTO,command-plus-1,212
zeichen-gen2,0,"['GOSUB', ':']",GOSUB,command-plus-1,212
zeichen-gen2,0,"['NEXT', ':']",NEXT,command-plus-1,212
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,212
zeichen-gen2,0,"['GOSUB', 'THEN']",GOSUB,command-plus-1,220
zeichen-gen2,0,"['THEN', '58']",THEN,command-plus-1,220
zeichen-gen2,0,"['ASC', 'AND']",ASC,command-plus-1,220
zeichen-gen2,0,"['ASC', 'IF']",ASC,command-plus-1,220
zeichen-gen2,0,"['TO', '=']",TO,command-plus-1,212
zeichen-gen2,0,"['END', 'THEN']",END,command-plus-1,172
zeichen-gen2,0,"['THEN', '""x""']",THEN,command-plus-1,172
zeichen-gen2,0,"['END', '0']",END,command-plus-1,170
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,170
zeichen-gen2,0,"['THEN', '100']",THEN,command-plus-1,180
zeichen-gen2,0,"['FOR', 'THEN']",FOR,command-plus-1,212
zeichen-gen2,0,"['THEN', '""C""']",THEN,command-plus-1,212
zeichen-gen2,0,"['THEN', '""L""']",THEN,command-plus-1,210
zeichen-gen2,0,"['THEN', '""S""']",THEN,command-plus-1,200
zeichen-gen2,0,"['THEN', '""""']",THEN,command-plus-1,104
zeichen-gen2,0,"['IF', ':']",IF,command-plus-1,104
zeichen-gen2,0,"['GET', '100']",GET,command-plus-1,104
zeichen-gen2,0,"['GOSUB', '7000']",GOSUB,command-plus-1,105
zeichen-gen2,0,"['IF', ':']",IF,command-plus-1,110
zeichen-gen2,0,"['THEN', '""i""']",THEN,command-plus-1,110
zeichen-gen2,0,"['GOTO', ':']",GOTO,command-plus-1,101
zeichen-gen2,0,"['THEN', '32']",THEN,command-plus-1,101
zeichen-gen2,0,"['POKE', ':']",POKE,command-plus-1,103
zeichen-gen2,0,"['POKE', '(']",POKE,command-plus-1,103
zeichen-gen2,0,"['IF', '=']",IF,command-plus-1,140
zeichen-gen2,0,"['THEN', '""m""']",THEN,command-plus-1,140
zeichen-gen2,0,"['THEN', '""q""']",THEN,command-plus-1,150
zeichen-gen2,0,"['THEN', '7']",THEN,command-plus-1,130
zeichen-gen2,0,"['IF', ':']",IF,command-plus-1,120
zeichen-gen2,0,"['THEN', '""j""']",THEN,command-plus-1,120
zeichen-gen2,0,"['IF', ':']",IF,command-plus-1,130
zeichen-gen2,0,"['THEN', '""k""']",THEN,command-plus-1,130
zeichen-gen2,0,"['GOTO', '100']",GOTO,command-plus-1,220
zeichen-gen2,0,"['PRINT', 'THEN']",PRINT,command-plus-1,1030
zeichen-gen2,0,"['THEN', '-']",THEN,command-plus-1,1030
zeichen-gen2,0,"['GOTO', ':']",GOTO,command-plus-1,1030
zeichen-gen2,0,"['PEEK', '=']",PEEK,command-plus-1,1020
zeichen-gen2,0,"['TO', '0']",TO,command-plus-1,1010
zeichen-gen2,0,"['FOR', ':']",FOR,command-plus-1,1010
zeichen-gen2,0,"['IF', ':']",IF,command-plus-1,1030
zeichen-gen2,0,"['STEP', '0']",STEP,command-plus-1,1030
