name,game_id,ngram,matched_token,matched_category,line
zeichen-gen-16k,0,"['131', 'POKE', '198', ',', '2', '632', ':']",",",ngram-around-PS,30
zeichen-gen-16k,0,"['PRINT', '""{down}{down}load""', 'CHR$', '(', '(', '34', '""zeichen-gen2""']",(,ngram-around-PP,20
zeichen-gen-16k,0,"['""{down}{down}load""', 'CHR$', '(', '(', '34', '""zeichen-gen2""', 'CHR$']",(,ngram-around-PP,20
zeichen-gen-16k,0,"['34', '""zeichen-gen2""', 'CHR$', '(', '34', ')', '"",""']",(,ngram-around-PP,20
zeichen-gen2,0,"['THEN', '13', '=', ')', 'a$', ':', '(']",),ngram-around-PP,4520
zeichen-gen2,0,"['0', '=', 'cx', ':', '1000', 'GOSUB', ':']",:,ngram-around-PC,4520
zeichen-gen2,0,"['45', ',', 'p', '(', '2', ')', ':']",(,ngram-around-PP,2030
zeichen-gen2,0,"['+', '22', '*', ')', '14', '+', 'cy']",),ngram-around-PP,7000
zeichen-gen2,0,"['>', 'wz', 'IF', ':', ')', 'a$', '(']",:,ngram-around-PC,4530
zeichen-gen2,0,"['wz', 'IF', ':', ')', 'a$', '(', '255']",),ngram-around-PP,4530
zeichen-gen2,0,"['i', '+', 'zs', '(', 'PEEK', ',', '8']",(,ngram-around-PP,4600
zeichen-gen2,0,"['zs', '(', 'PEEK', ',', '8', '*', 'zn']",",",ngram-around-PS,4600
zeichen-gen2,0,"['i', '(', 'p', ':', '3', 'TO', '0']",:,ngram-around-PC,3005
zeichen-gen2,0,"['1', '(', 'p', ',', '44', 'POKE', ':']",",",ngram-around-PS,2060
zeichen-gen2,0,"[',', '44', 'POKE', ':', ')', ')', '(']",:,ngram-around-PC,2060
zeichen-gen2,0,"['44', 'POKE', ':', ')', ')', '(', 'p']",),ngram-around-PP,2060
zeichen-gen2,0,"['POKE', ':', ')', ')', '(', 'p', ',']",),ngram-around-PP,2060
zeichen-gen2,0,"[':', ')', ')', '(', 'p', ',', '43']",(,ngram-around-PP,2060
