ngram,matched_token,matched_category,line,name,game_id,skipped_token,skip_tag
"['PRINT', '_', 'PRINT', '""{clr}""', 'PRINT', '""{clr}{rvs_on}{down}{down}""']","""{clr}""",skipgram,10,spukhaus3,5,"""{clr}""",SL
"['ti$', '=', '_', ':', 'ze', '=', '14']","""000000""",skipgram,50,spukhaus3,5,"""000000""",SL
"['PRINT', 'q$', ';', '_', 'PRINT', ':', 'FOR', 'j']","""{rvs_on}{up}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{SHIFT-POUND}""",skipgram,1010,spukhaus3,5,"""{rvs_on}{up}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{SHIFT-POUND}""",SL
"['PRINT', 'q$', ';', '_', 'p', '=', 'PEEK', '(']","""{rvs_on}{red}{up}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{CBM-M}""",skipgram,1020,spukhaus3,5,"""{rvs_on}{red}{up}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{CBM-M}""",SL
"['PRINT', 'q$', '_', 'PRINT', '"" ""', ';', ':']","""du bist in der""",skipgram,1040,spukhaus3,5,"""du bist in der""",SL
"['PRINT', '_', 'PRINT', '""{right}{right}{right}{right}{right}]*_\\]*_\\]*_\\""', 'PRINT', '""    {red}m{white}           {red}j""']","""eingangshalle""",skipgram,1045,spukhaus3,5,"""eingangshalle""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh tuer""']","""n""",skipgram,1060,spukhaus3,5,"""n""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""geh tuer""",skipgram,1060,spukhaus3,5,"""geh tuer""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40100', ':']","""s""",skipgram,1065,spukhaus3,5,"""s""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40000', ':']","""o""",skipgram,1070,spukhaus3,5,"""o""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""geh treppe""']","""w""",skipgram,1075,spukhaus3,5,"""w""",SL
"['OR', 'vn$', '=', '_', 'OR', 'vn$', '=', '""hoch""']","""geh treppe""",skipgram,1075,spukhaus3,5,"""geh treppe""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""hoch""",skipgram,1075,spukhaus3,5,"""hoch""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,1080,spukhaus3,5,"""sieh""",SL
"['7', ')', '=', '_', 'THEN', 'GOSUB', '41000', ':']","""fenster""",skipgram,1080,spukhaus3,5,"""fenster""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'se', '=', '0']","""nimm streichholz""",skipgram,1085,spukhaus3,5,"""nimm streichholz""",SL
"['IF', 'vn$', '=', '_', 'THEN', '1050', 'POKE', 'pc']","""""",skipgram,1090,spukhaus3,5,"""""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'db', '=', '0']","""nimm kreuz""",skipgram,1120,spukhaus3,5,"""nimm kreuz""",SL
"['PRINT', 'q$', ';', '_', 'PRINT', '""l = load daten""', 'PRINT', '"" {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {rvs_on} {rvs_off}  {rvs_on} ""']","""{rvs_on}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-+}""",skipgram,2010,spukhaus3,5,"""{rvs_on}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-+}""",SL
"['PRINT', 'q$', ';', '_', 'SAVE', '""robot.zchn      ""', 'PRINT', ':']","""du bist in der""",skipgram,2050,spukhaus3,5,"""du bist in der""",SL
"['PRINT', '_', 'PRINT', '""t = tagesbestenliste""', ':', 'PRINT']","""speisekammer""",skipgram,2055,spukhaus3,5,"""speisekammer""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""s""",skipgram,2110,spukhaus3,5,"""s""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""n""']","""geh loch""",skipgram,2120,spukhaus3,5,"""geh loch""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""n""",skipgram,2120,spukhaus3,5,"""n""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,2130,spukhaus3,5,"""sieh""",SL
"['7', ')', '=', '_', 'THEN', 'GOSUB', '41000', ':']","""schrank""",skipgram,2130,spukhaus3,5,"""schrank""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,2135,spukhaus3,5,"""sieh""",SL
"['7', ')', '=', '_', 'THEN', 'GOSUB', '21000', 'PRINT']","""schrank""",skipgram,2135,spukhaus3,5,"""schrank""",SL
"['IF', 'vn$', '=', '_', 'THEN', '2100', 'IF', 'a$']","""""",skipgram,2140,spukhaus3,5,"""""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""o""']","""w""",skipgram,2150,spukhaus3,5,"""w""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'GOSUB', '40000', ':']","""o""",skipgram,2150,spukhaus3,5,"""o""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'h', '=', '1']","""nimm hammer""",skipgram,2160,spukhaus3,5,"""nimm hammer""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'PRINT', 'q$', ';']","""iss""",skipgram,2170,spukhaus3,5,"""iss""",SL
"['PRINT', 'q$', ';', '_', ':', 'es', '=', '0']","""ok hast gegessen""",skipgram,2170,spukhaus3,5,"""ok hast gegessen""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'PRINT', 'q$', ';']","""trink""",skipgram,2180,spukhaus3,5,"""trink""",SL
"['PRINT', 'q$', ';', '_', ':', 'tr', '=', '0']","""ok hast getrunken""",skipgram,2180,spukhaus3,5,"""ok hast getrunken""",SL
"['AND', 'vn$', '=', '_', 'THEN', 'h', '=', '1']","""lies zettel""",skipgram,2200,spukhaus3,5,"""lies zettel""",SL
"['1', 'THEN', 'PRINT', '_', 'POKE', '43', ',', '227']","""{rvs_on}{red}{home}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-G}""",skipgram,3010,spukhaus3,5,"""{rvs_on}{red}{home}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-G}""",SL
"['PRINT', 'q$', ';', '_', 'LOAD', '""robot.zchn      ""', ',', '8']","""{rvs_on}{red}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-+}""",skipgram,3020,spukhaus3,5,"""{rvs_on}{red}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{CBM-+}""",SL
"['PRINT', 'q$', ';', '_', 'zz', '=', '0', ':']","""du bist im esszimmer""",skipgram,3050,spukhaus3,5,"""du bist im esszimmer""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""s""",skipgram,3110,spukhaus3,5,"""s""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""n""']","""o""",skipgram,3120,spukhaus3,5,"""o""",SL
"['OR', 'vn$', '=', '_', 'AND', 'lz', '=', '0']","""n""",skipgram,3120,spukhaus3,5,"""n""",SL
"['OR', 'vn$', '=', '_', 'AND', 'gt', '=', '0']","""w""",skipgram,3120,spukhaus3,5,"""w""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,3130,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'THEN', 'GOSUB', '21010', 'PRINT']","""tisch""",skipgram,3130,spukhaus3,5,"""tisch""",SL
"['IF', 'vn$', '=', '_', 'AND', 'lz', '=', '0']","""geh luke""",skipgram,3150,spukhaus3,5,"""geh luke""",SL
"['PRINT', 'q$', ';', '_', ':', 'h', '=', '1']","""ist verschlossen""",skipgram,3150,spukhaus3,5,"""ist verschlossen""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40600', ':']","""oeffne luke""",skipgram,3170,spukhaus3,5,"""oeffne luke""",SL
"['4', ')', '=', '_', 'AND', 'MID$', '(', 'vn$']","""sieh""",skipgram,3180,spukhaus3,5,"""sieh""",SL
"['5', ')', '=', '_', 'THEN', 'GOSUB', '21020', 'p']","""kamin""",skipgram,3180,spukhaus3,5,"""kamin""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'PRINT', 'q$', ';']","""zieh hebel""",skipgram,3200,spukhaus3,5,"""zieh hebel""",SL
"['PRINT', 'q$', ';', '_', ':', 'h', '=', '1']","""geht nicht""",skipgram,3200,spukhaus3,5,"""geht nicht""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40300', ':']","""drueck hebel""",skipgram,3210,spukhaus3,5,"""drueck hebel""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""n""']","""geh luke""",skipgram,3230,spukhaus3,5,"""geh luke""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""n""",skipgram,3230,spukhaus3,5,"""n""",SL
"['IF', 'vn$', '=', '_', 'THEN', '3100', 'IF', 'x']","""""",skipgram,3240,spukhaus3,5,"""""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""w""']","""geh tuer""",skipgram,3250,spukhaus3,5,"""geh tuer""",SL
"['OR', 'vn$', '=', '_', 'THEN', 'ON', 'yy', 'GOTO']","""w""",skipgram,3250,spukhaus3,5,"""w""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""w""']","""geh tuer""",skipgram,3260,spukhaus3,5,"""geh tuer""",SL
"['OR', 'vn$', '=', '_', 'THEN', '13000', 'q', '=']","""w""",skipgram,3260,spukhaus3,5,"""w""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40500', ':']","""oeffne tuer""",skipgram,3270,spukhaus3,5,"""oeffne tuer""",SL
"['IF', 'vn$', '=', '_', 'THEN', 'GOSUB', '40500', ':']","""oeffne tuer""",skipgram,3280,spukhaus3,5,"""oeffne tuer""",SL
"['IF', 'vn$', '=', '_', 'OR', 'vn$', '=', '""w""']","""geh tuer""",skipgram,3290,spukhaus3,5,"""geh tuer""",SL
