ngram,count
"['PRINT', '""{down}{down}load""', 'CHR$']",4
"['PRINT', '""{cyan}""', ';']",2
"['PRINT', '""-{red}""', ':']",2
"['PRINT', '"" ""', ';']",9
"['PRINT', 'f2$', '(']",3
"['PRINT', '""{green}""', ';']",6
"['PRINT', '""t = tagesbestenliste""', 'PRINT']",1
"['PRINT', '""highscore:""', ';']",1
"['PRINT', '""sie finden eine lampe""', ':']",1
"['PRINT', '""ihre luft ist verbraucht!""', ':']",1
"['PRINT', '""du musst schlafen""', ':']",1
"['PRINT', 'q$', ';']",20
"['PRINT', '""such den zettel""', ':']",1
"['PRINT', '""such das kreuz""', ':']",1
"['PRINT', '""du hast dracula""', ':']",1
"['PRINT', '""verjagt""', ':']",2
"['PRINT', '""du musst was trinken""', ':']",1
"['PRINT', '""du musst was essen""', ':']",1
"['PRINT', '""such den schlues-""', ':']",1
"['PRINT', '""{down}{down}dracula hat dich      {down}gebissen""', ':']",1
"['PRINT', '""{clr}{down}{down}{down}du hast gewonnen      {down}du hast jane befreit""', ':']",1
"['PRINT', '""{clr}{down}{down}{down}du hast verloren      {down}{down}{down}du bist verdurstet""', ':']",1
"['PRINT', '""{down}tod umgefallen""', ':']",1
"['PRINT', '""{down}{down}der gehilfe draculas  {down}hat dich getoetet""', ':']",1
"['PRINT', 'q$', '""da ist ein hammer""']",1
"['PRINT', 'q$', '""da ist ein pflock""']",1
"['PRINT', '""interesse""', ':']",1
"['PRINT', '""in""', 'x']",1
"['PRINT', '""{home}{red}es ist""', 'zu']",1
"['PRINT', 'q$', '"" ""']",1
"['PRINT', 'q$', '""eingangstuer ist""']",1
"['PRINT', 'q$', '""befehl falsch""']",1
"['PRINT', 'q$', '""ok hast genommen""']",1
"['PRINT', '""such das messer""', ':']",1
"['PRINT', 'q$', '""{rvs_on}{up}{up}{up}{right}{right}{right}{right}{right}{right}Z""']",1
"['PRINT', 'q$', '""{down}{down}{down}""']",1
"['PRINT', '""der gehilfe ist tot""', ':']",1
"['PRINT', '""jagt""', ':']",1
"['PRINT', '""du hast den gehilfen""', ':']",1
"['PRINT', '""getoetet""', ':']",1
"['PRINT', 'q$', '""{down}{down}""']",1
"['PRINT', 'q$', '""womit ?""']",1
"['PRINT', 'q$', '""du bist in der""']",1
"['PRINT', '""{clr}{down}{down}das war gift""', ':']",1
"['PRINT', '""{clr}{down}{down}{down}{red}du stehst vor dem     {down}{down}{down}spukhaus""', ':']",1
"['PRINT', '""{down}{down}{down}es ist 14.00 uhr""', ':']",1
"['PRINT', '""bis zum anfang des""', ':']",1
"['PRINT', '""ok""', ':']",1
"['PRINT', 'pc', 'TAB(']",1
"['PRINT', '""opcode error in""', 'z']",1
"['PRINT', '""cassette / disk {rvs_on}c{rvs_off}/{rvs_on}d{rvs_off}""', ':']",1
"['PRINT', '""{down}{down}load""', '(']",1
"['PRINT', '""{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{green}@@@@@@@@@@@@@@@@@@@@@""', ';']",1
"['PRINT', '""{clr}{green}highscore: ""', 'RIGHT$']",1
"['PRINT', '""{right}{right}{rvs_on}""', 'CHR$']",1
"['PRINT', '""licht""', ':']",1
"['PRINT', '""luft=0""', ':']",1
"['PRINT', '""ra""', ';']",1
"['PRINT', '""wand gerammt""', ':']",1
"['PRINT', '""sie gehen""', ':']",1
"['PRINT', '""{clr}""', ':']",16
"['PRINT', 'p$', '""{black}""']",1
"['PRINT', '""{down}{down}{rvs_on}""', ';']",1
"['PRINT', 'p$', ';']",1
"['PRINT', '""{rvs_off} {left}""', ';']",1
"['PRINT', '""schwierigkeitsgrad    spieler""', 'k']",1
"['PRINT', '""{rvs_on} {left}""', ';']",1
"['PRINT', '""{rvs_off}""', 'a$']",1
"['PRINT', '""{down}{right}{right}es ist noch ein""', ':']",1
"['PRINT', '""{clr}{down}{down}{down}{down}{down}{right}{right}geben sie \'W\'""', ':']",1
"['PRINT', '""{down}{down}{right}waehle eine der""', ':']",1
"['PRINT', '""{down}{right}1 : loesung""', ':']",1
"['PRINT', '""{clr}{down}{right}das einsiedlerspiel""', ':']",1
"['PRINT', '""{right}sie mit den cursor-""', ':']",1
"['PRINT', '""{right}und fahren dann ""', ':']",1
"['PRINT', '""{left}**{down}{left}{left}**   Q Q Q Q Q Q Q""', ':']",2
"['PRINT', '""{left}**""', ':']",1
"['PRINT', '""{up}{left}**{down}{left}{left}**""', ':']",3
"['PRINT', 'a$', ';']",3
"['PRINT', '""{clr}{down}{down}***********************""', ':']",1
"['PRINT', '""{down}fuer ""', ';']",1
"['PRINT', '""{down}""', ';']",2
"['PRINT', '""{down}{down}{down}aus ""', ';']",1
"['PRINT', '""{down}{rvs_on}fuer computer-typ?{rvs_off}    (vc-20/cbm/zx-81/...)""', ':']",1
"['PRINT', '""235 dt=""', ';']",1
"['PRINT', '""{clr}{rvs_on}programmtitel?{rvs_off}""', ':']",1
"['PRINT', '""{down}{rvs_on}heftnummer/jahrgang?{rvs_off}  (23/82)""', ':']",1
"['PRINT', '""{clr}""', 'SPC(']",1
"['PRINT', 'pe$', '""{blue}""']",1
"['PRINT', '""{clr}{down}{down}{blue}dieses  music-programmist nicht nur mit ein-fachen data\'s!mit vie-""', ';']",1
"['PRINT', '""{clr}{down}{down}{down}{down}""', ';']",1
"['PRINT', '""{blue}4. schlagzeug""', ':']",1
"['PRINT', '""{rvs_on} {rvs_off}   {CBM-*} {rvs_on} {rvs_off} {rvs_on} {rvs_off} {CBM-*}{rvs_on} {rvs_off}{SHIFT-POUND} {rvs_on}   {rvs_off} {rvs_on} {rvs_off} {CBM-*}{rvs_on}{CBM-*}{rvs_off}""', ';']",1
"['PRINT', '""{down}{rvs_on}{blue}taste {rvs_off}""', ':']",1
